fill	ymin	ymax	xmin	xmax	showSelected1
#000000	0	0.01	0.05	2.45	1
#000000	0	0.01	0.05	2.45	2
#0000FF	0	0.01	5.05	7.45	2
#000000	0	0.01	0.05	2.45	3
#000000	0.01	0.02	0.05	2.45	3
#0000FF	0	0.01	5.05	7.45	3
#000000	0	0.01	0.05	2.45	4
#000000	0.01	0.02	0.05	2.45	4
#0000FF	0	0.01	5.05	7.45	4
#0000FF	0.01	0.02	5.05	7.45	4
#000000	0	0.01	0.05	2.45	5
#000000	0.01	0.02	0.05	2.45	5
#FF0000	0	0.01	2.55	4.95	5
#0000FF	0	0.01	5.05	7.45	5
#0000FF	0.01	0.02	5.05	7.45	5
#000000	0	0.01	0.05	2.45	6
#000000	0.01	0.02	0.05	2.45	6
#000000	0.02	0.03	0.05	2.45	6
#FF0000	0	0.01	2.55	4.95	6
#0000FF	0	0.01	5.05	7.45	6
#0000FF	0.01	0.02	5.05	7.45	6
#000000	0	0.01	0.05	2.45	7
#000000	0.01	0.02	0.05	2.45	7
#000000	0.02	0.03	0.05	2.45	7
#FF0000	0	0.01	2.55	4.95	7
#0000FF	0	0.01	5.05	7.45	7
#0000FF	0.01	0.02	5.05	7.45	7
#0000FF	0.02	0.03	5.05	7.45	7
#000000	0	0.01	0.05	2.45	8
#000000	0.01	0.02	0.05	2.45	8
#000000	0.02	0.03	0.05	2.45	8
#FF0000	0	0.01	2.55	4.95	8
#0000FF	0	0.01	5.05	7.45	8
#0000FF	0.01	0.02	5.05	7.45	8
#0000FF	0.02	0.03	5.05	7.45	8
#0000FF	0.03	0.04	5.05	7.45	8
#000000	0	0.01	0.05	2.45	9
#000000	0.01	0.02	0.05	2.45	9
#000000	0.02	0.03	0.05	2.45	9
#FF0000	0	0.01	2.55	4.95	9
#0000FF	0	0.01	5.05	7.45	9
#0000FF	0.01	0.02	5.05	7.45	9
#0000FF	0.02	0.03	5.05	7.45	9
#0000FF	0.03	0.04	5.05	7.45	9
#0000FF	0.04	0.05	5.05	7.45	9
#000000	0	0.01	0.05	2.45	10
