y	x	label	showSelected1
-0.04	12	Number of Tosses : 1	1
-0.04	12	Number of Tosses : 2	2
-0.04	12	Number of Tosses : 3	3
-0.04	12	Number of Tosses : 4	4
-0.04	12	Number of Tosses : 5	5
-0.04	12	Number of Tosses : 6	6
-0.04	12	Number of Tosses : 7	7
-0.04	12	Number of Tosses : 8	8
-0.04	12	Number of Tosses : 9	9
-0.04	12	Number of Tosses : 10	10
-0.04	12	Number of Tosses : 11	11
-0.04	12	Number of Tosses : 12	12
-0.04	12	Number of Tosses : 13	13
-0.04	12	Number of Tosses : 14	14
-0.04	12	Number of Tosses : 15	15
-0.04	12	Number of Tosses : 16	16
-0.04	12	Number of Tosses : 17	17
-0.04	12	Number of Tosses : 18	18
-0.04	12	Number of Tosses : 19	19
-0.04	12	Number of Tosses : 20	20
-0.04	12	Number of Tosses : 21	21
-0.04	12	Number of Tosses : 22	22
-0.04	12	Number of Tosses : 23	23
-0.04	12	Number of Tosses : 24	24
-0.04	12	Number of Tosses : 25	25
-0.04	12	Number of Tosses : 26	26
-0.04	12	Number of Tosses : 27	27
-0.04	12	Number of Tosses : 28	28
-0.04	12	Number of Tosses : 29	29
-0.04	12	Number of Tosses : 30	30
-0.04	12	Number of Tosses : 31	31
-0.04	12	Number of Tosses : 32	32
-0.04	12	Number of Tosses : 33	33
-0.04	12	Number of Tosses : 34	34
-0.04	12	Number of Tosses : 35	35
-0.04	12	Number of Tosses : 36	36
-0.04	12	Number of Tosses : 37	37
-0.04	12	Number of Tosses : 38	38
-0.04	12	Number of Tosses : 39	39
-0.04	12	Number of Tosses : 40	40
-0.04	12	Number of Tosses : 41	41
-0.04	12	Number of Tosses : 42	42
-0.04	12	Number of Tosses : 43	43
-0.04	12	Number of Tosses : 44	44
-0.04	12	Number of Tosses : 45	45
-0.04	12	Number of Tosses : 46	46
-0.04	12	Number of Tosses : 47	47
-0.04	12	Number of Tosses : 48	48
-0.04	12	Number of Tosses : 49	49
-0.04	12	Number of Tosses : 50	50
-0.04	12	Number of Tosses : 51	51
-0.04	12	Number of Tosses : 52	52
-0.04	12	Number of Tosses : 53	53
-0.04	12	Number of Tosses : 54	54
-0.04	12	Number of Tosses : 55	55
-0.04	12	Number of Tosses : 56	56
-0.04	12	Number of Tosses : 57	57
-0.04	12	Number of Tosses : 58	58
-0.04	12	Number of Tosses : 59	59
-0.04	12	Number of Tosses : 60	60
-0.04	12	Number of Tosses : 61	61
-0.04	12	Number of Tosses : 62	62
-0.04	12	Number of Tosses : 63	63
-0.04	12	Number of Tosses : 64	64
-0.04	12	Number of Tosses : 65	65
-0.04	12	Number of Tosses : 66	66
-0.04	12	Number of Tosses : 67	67
-0.04	12	Number of Tosses : 68	68
-0.04	12	Number of Tosses : 69	69
-0.04	12	Number of Tosses : 70	70
-0.04	12	Number of Tosses : 71	71
-0.04	12	Number of Tosses : 72	72
-0.04	12	Number of Tosses : 73	73
-0.04	12	Number of Tosses : 74	74
-0.04	12	Number of Tosses : 75	75
-0.04	12	Number of Tosses : 76	76
-0.04	12	Number of Tosses : 77	77
-0.04	12	Number of Tosses : 78	78
-0.04	12	Number of Tosses : 79	79
-0.04	12	Number of Tosses : 80	80
-0.04	12	Number of Tosses : 81	81
-0.04	12	Number of Tosses : 82	82
-0.04	12	Number of Tosses : 83	83
-0.04	12	Number of Tosses : 84	84
-0.04	12	Number of Tosses : 85	85
-0.04	12	Number of Tosses : 86	86
-0.04	12	Number of Tosses : 87	87
-0.04	12	Number of Tosses : 88	88
-0.04	12	Number of Tosses : 89	89
-0.04	12	Number of Tosses : 90	90
-0.04	12	Number of Tosses : 91	91
-0.04	12	Number of Tosses : 92	92
-0.04	12	Number of Tosses : 93	93
-0.04	12	Number of Tosses : 94	94
-0.04	12	Number of Tosses : 95	95
-0.04	12	Number of Tosses : 96	96
-0.04	12	Number of Tosses : 97	97
-0.04	12	Number of Tosses : 98	98
-0.04	12	Number of Tosses : 99	99
-0.04	12	Number of Tosses : 100	100
